(4, 0, 'add', '11', 'qkv_proj', 0.10271708938208493, 'attn', 0.10056145218285648, 1.0214360189957157)
(8, 0, 'add', '11', 'qkv_proj', 0.10370908948508176, 'attn', 0.10184436359188774, 1.0183095639996964)
(16, 0, 'add', '11', 'qkv_proj', 0.10412799905646931, 'attn', 0.09888000176711516, 1.0530744052949592)
(32, 0, 'add', '11', 'qkv_proj', 0.10541381686925888, 'attn', 0.09859200025146658, 1.0691923949244637)
(64, 0, 'add', '11', 'qkv_proj', 0.10573963414538991, 'attn', 0.10219927132129669, 1.0346417619061385)
(128, 0, 'add', '11', 'qkv_proj', 0.1009861793030392, 'attn', 0.09915927458893169, 1.0184239419023688)
(256, 0, 'add', '11', 'qkv_proj', 0.1016523614525795, 'attn', 0.09949963743036444, 1.0216354961466232)
(512, 0, 'add', '11', 'qkv_proj', 0.10218763419172981, 'attn', 0.11362036453052, 0.8993778062055134)
(4, 0, 'init', '11', 'qkv_proj', 0.10774690793319182, 'attn', 0.30067200281403283, 0.35835364425278343)
(8, 0, 'init', '11', 'qkv_proj', 0.11850472675128416, 'attn', 0.3167505481026389, 0.3741263510391282)
(16, 0, 'init', '11', 'qkv_proj', 0.1062807257879864, 'attn', 0.3197352723641829, 0.33240225578531474)
(32, 0, 'init', '11', 'qkv_proj', 0.10809599946845662, 'attn', 0.30769454620101233, 0.351309442442438)
(64, 0, 'init', '11', 'qkv_proj', 0.12650763514367017, 'attn', 0.30289163372733374, 0.4176663237174576)
(128, 0, 'init', '11', 'qkv_proj', 0.13369890641082416, 'attn', 0.2992000010880557, 0.4468546321010074)
(256, 0, 'init', '11', 'qkv_proj', 0.16915491087870163, 'attn', 0.31311127272519196, 0.5402389681037247)
(512, 0, 'init', '11', 'qkv_proj', 0.3226705518635837, 'attn', 0.42977454445578833, 0.7507902830126258)
(4, 1, 'add', '22', 'qkv_proj', 0.10355781763792038, 'attn', 0.09998545321551236, 1.0357288416216708)
(8, 1, 'add', '22', 'qkv_proj', 0.10284508967941458, 'attn', 0.10136436129158194, 1.0146079782772293)
(16, 1, 'add', '22', 'qkv_proj', 0.09944436292756688, 'attn', 0.0974836376580325, 1.0201133781692935)
(32, 1, 'add', '22', 'qkv_proj', 0.10417745330116966, 'attn', 0.09830690920352936, 1.0597164954650975)
(64, 1, 'add', '22', 'qkv_proj', 0.10006981613961133, 'attn', 0.09533963758837093, 1.049613976630192)
(128, 1, 'add', '22', 'qkv_proj', 0.10021236132491719, 'attn', 0.0968814566731453, 1.034381240395771)
(256, 1, 'add', '22', 'qkv_proj', 0.10005236146124927, 'attn', 0.10103272578933022, 0.990296566578584)
(512, 1, 'add', '22', 'qkv_proj', 0.10340363532304764, 'attn', 0.1437527293508703, 0.7193159795294114)
(4, 1, 'init', '22', 'qkv_proj', 0.10727272589098323, 'attn', 0.3102545440196991, 0.34575714670007257)
(8, 1, 'init', '22', 'qkv_proj', 0.10818327082829042, 'attn', 0.30591999942606146, 0.3536325543647155)
(16, 1, 'init', '22', 'qkv_proj', 0.1045236357233741, 'attn', 0.3035520017147064, 0.34433518847821903)
(32, 1, 'init', '22', 'qkv_proj', 0.12461672452363101, 'attn', 0.3040698197754947, 0.40982931030656006)
(64, 1, 'init', '22', 'qkv_proj', 0.1391621773893183, 'attn', 0.2971665398641066, 0.46829692687796126)
(128, 1, 'init', '22', 'qkv_proj', 0.16895418546416544, 'attn', 0.3121076361699538, 0.5413330719411293)
(256, 1, 'init', '22', 'qkv_proj', 0.32274619286710565, 'attn', 0.377864731983705, 0.8541315596530022)
(512, 1, 'init', '22', 'qkv_proj', 0.6010879874229431, 'attn', 0.5606050870635293, 1.0722128665857542)
(4, 2, 'add', '45', 'qkv_proj', 0.10354036295955832, 'attn', 0.09860363534905693, 1.0500663854129249)
(8, 2, 'add', '45', 'qkv_proj', 0.10146908868442882, 'attn', 0.09950254586609927, 1.0197637437435614)
(16, 2, 'add', '45', 'qkv_proj', 0.09878691082650964, 'attn', 0.09788800098679283, 1.0091830442000558)
(32, 2, 'add', '45', 'qkv_proj', 0.10167854279279709, 'attn', 0.09979345514015718, 1.0188898926286534)
(64, 2, 'add', '45', 'qkv_proj', 0.10457599840380928, 'attn', 0.0983621823516759, 1.0631728160515697)
(128, 2, 'add', '45', 'qkv_proj', 0.10236799784682014, 'attn', 0.10050618038936095, 1.018524407655793)
(256, 2, 'add', '45', 'qkv_proj', 0.10334545306184074, 'attn', 0.1165905472907153, 0.8863965000880536)
(512, 2, 'add', '45', 'qkv_proj', 0.1032959981398149, 'attn', 0.16858181763779034, 0.6127351074227558)
(4, 2, 'init', '45', 'qkv_proj', 0.1076072718609463, 'attn', 0.3099258162758567, 0.3472033183746395)
(8, 2, 'init', '45', 'qkv_proj', 0.11008581790057095, 'attn', 0.30833163315599615, 0.35703705381690287)
(16, 2, 'init', '45', 'qkv_proj', 0.12116072936491533, 'attn', 0.30091054873033, 0.4026469988378411)
(32, 2, 'init', '45', 'qkv_proj', 0.1323694491928274, 'attn', 0.30954182147979736, 0.4276302586836934)
(64, 2, 'init', '45', 'qkv_proj', 0.1940945481712168, 'attn', 0.31741091067140753, 0.6114929942409849)
(128, 2, 'init', '45', 'qkv_proj', 0.3237119940194217, 'attn', 0.3753396353938363, 0.8624508671453182)
(256, 2, 'init', '45', 'qkv_proj', 0.6021119952201843, 'attn', 0.5313425443389199, 1.1331898821866666)
(512, 2, 'init', '45', 'qkv_proj', 1.2557789304039695, 'attn', 0.8624261942776766, 1.4561001726712912)
